fips,crop3,irrig,neon_12_to_14,neon_13_to_14,neon_14_to_14,neon_15_to_14,neon_16_to_14,neon_17_to_14,neon_19_to_14,neon_1_to_14,neon_2_to_14,neon_3_to_14,neon_5_to_14,neon_6_to_14,neon_7_to_14,neon_8_to_14
01001,corn_grain,dry,-0.0028166621037185595,-0.004094786478705651,-0.0016076341409933669,0.0037161810592730247,-0.0033671309564497227,-0.0025790971130946337,-0.005944982408036934,-0.003292993462560454,-0.00708462590668374,-0.00885674459182581,-0.005633605138786412,0.00011265577306531624,-0.007598804710598152,-0.005652765799485261
01001,corn_silage,dry,-0.009069282623685525,-0.010600293000558708,0.003928968532873777,0.011129212146206185,-0.0005074091939460708,-0.010145951121515178,-0.012341999610853261,-0.006273549593900417,-0.005994536023611137,-0.013993835888561623,-0.013317939229218806,-0.00020554377274263456,-0.012503449937554603,-0.00888104123528186
01001,corn_silage,irrig,-0.0758678015894226,-0.0693419992887468,0.03491273664865028,0.06840845075064442,-0.004698189338512617,-0.04556137133323103,-0.05975479359466381,-0.030953114248246205,-0.039177224341718844,-0.08016016808770085,-0.05023513339320975,-0.010768568227053195,-0.12304758430100211,-0.07129866315272276
01001,cotton_upland,dry,0.0004395006083782952,-0.0007008709540516341,0.0008271996842897093,-0.002481704582712866,-0.0012410320014238333,-0.0009201317994052626,-0.002010708886042483,0.0009510433601315648,-0.0010860892241077967,-0.0016604315344402323,-0.0019298560783105223,-0.0009315725449329126,-0.0011852078213625077,0.00025549328666712106
01001,oats_fall,dry,0.023777360504025007,0.018724072964902912,0.04082680055268984,0.033633580388695135,0.025358427713681655,0.008452021577078452,0.02482702143708945,0.05235062708673146,0.04814339182052652,0.046417319793997186,0.029909473344327368,0.016373902282319056,0.04057801113650335,0.09310199200717607
01001,soybeans,dry,-0.00600010654059344,-0.0012202590412362453,-0.009832966964194308,0.0015041966891624757,-0.0026132492956427735,-0.007333643195261184,-0.009884588759996267,0.001105460886471548,-0.009791868791863152,-0.009892388066557694,-0.005167058624066352,-0.005067029746926937,-0.002560028863838037,-0.006819480537216797
01001,soybeans,irrig,-0.0004737084348697525,0.001186905084615078,-0.0025687983275627054,0.002025689071080735,0.0007193646950719844,-0.00035223590539664194,-0.0006283453451160417,1.6149103514473053e-05,-0.001890176956926361,-0.0021568644206541128,0.0007961258943036577,0.00042717053776871253,-0.002405010958857835,-0.003218901686466852
01001,wheat_winter,dry,0.012043678210019369,0.008512758053901639,0.024495229195155316,0.015095572208280809,0.014027997846359328,0.0038758580980206626,0.015807389769176124,0.028567445689631932,0.02826806475098484,0.029052771858296623,0.01650919318144462,0.00816491015436062,0.0260011747764915,0.061877701986932765
01003,corn_grain,dry,-0.001824287032893955,-0.004081831147658233,-0.0027372980575432436,0.005120315584904867,-0.0034208756311024536,-0.003704206989380996,-0.006014669383523076,-0.003587911477492264,-0.00706332534812189,-0.013569352686373597,-0.004907027380665562,0.001160449000711364,-0.00985880753829084,9.105878078553998e-05
01003,corn_silage,dry,-0.014913346190328542,-0.020181873159964805,0.008954680791629322,0.027209637744978952,0.00242007696704708,-0.015017550673153695,-0.014469502714980239,-0.010663968246515812,-0.01447350323608146,-0.06636642444145843,-0.02203246995005831,0.0027614288962136643,-0.04156539405764678,0.008097476490812827
01003,cotton_upland,dry,0.001774516957617547,-0.0002952487463962068,0.0016487026120590698,-3.116453951931462e-06,-0.0011621434479663234,-0.0008740804271632726,-0.0028116016798621865,0.0011010409161351289,-0.0014850277863944629,-0.0012617265931240968,-0.0015856202853271528,0.0008728122705113213,-0.002552580264694031,0.0010941422904747467
01003,oats_fall,dry,0.04749375695270978,0.033740679877246105,0.06639691644019896,0.04632456886311247,0.028551752130624306,0.013619316931570894,0.04153279177154996,0.07662505265352304,0.07656446711431045,0.13116594408248125,0.029318249839019588,0.02659086867719311,0.06791062854438229,0.06571534913520512
01003,potatoes_summer,dry,-0.0027919643863245328,-0.0034612189238704323,-0.003238262067365048,0.001948924190016662,-0.0017343657762207418,-0.000710168209377704,-0.0019309902060308816,-0.002253046664350225,-0.004139392105189583,-0.008541189107148744,-0.003304832935691145,-0.00019672530123872954,-0.005935976675642384,-0.0012436268466501155
01003,soybeans,dry,-0.009927908403623512,-0.0034192885863791977,-0.007443721412209521,0.0067029338421105734,-0.010802453494844764,-0.012721145556663968,-0.016330451674921104,-0.005152146324100892,-0.015789129939356,-0.02639072725763658,-0.005085313060518272,-0.002864691226271744,-0.010030167967725108,-0.004178506089246155
01003,wheat_winter,dry,0.017385834809345184,0.010992076097431015,0.029892820616831094,0.013007557368310049,0.010800692297525543,0.0041045959712160355,0.019488503264700127,0.033951250885649015,0.03281636486480365,0.06994566271663295,0.010846427622166106,0.0072095676088426,0.03429372904245356,0.030541230898223255
01005,corn_grain,dry,-0.0008978219812186625,-0.0028298693449404903,-0.0009664072403686443,0.006088803758663161,-0.0011593219305054954,-0.003782160636725488,-0.007019567464602722,-0.0037509019709898745,-0.004682707458158783,-0.011358817442904975,-0.0019300178658447306,0.004128101241614824,-0.00903737069835811,-0.0005548428731678599
01005,corn_silage,dry,-0.003457791068397543,-0.004065427799067707,0.004267139180982143,0.01015334826369668,0.003148385222085294,-0.0033906444344061217,-0.006956842598727478,-0.004243344224213906,-0.00046470588440555995,-0.01686638341423384,-0.001612526291196404,0.00444829732964634,-0.01392189481988098,0.0009922007238279832
01005,cotton_upland,dry,0.0007856724662568138,-0.002910914386726795,0.0007157424877547518,0.0003000803083190244,-0.0015452955405740384,-0.0013509132625064114,-0.005771439432775792,-0.0010864631066950681,-0.000343581977207567,-0.002300603345779461,-0.0009118097203386966,0.0027355266333666806,-0.004370712839090489,-0.002594438947878973
01005,oats_fall,dry,0.024695181817268656,0.017326136391116773,0.039686043943815176,0.017461468705260188,0.011437976120821815,-0.004096621854867933,0.030274630334352123,0.051699996350559906,0.04542000822593849,0.06563797848893026,0.013173923298576445,0.015349303450829984,0.030006208268625937,0.038356908836549714
01005,soybeans,dry,-0.0124274346257293,-0.00531341601858014,-0.004920401823986234,0.004463604171004161,-0.003979245928016219,-0.012500312283636636,-0.011205247242290332,-0.005407439568714989,-0.011759000127547053,-0.021739814586201917,-0.008953012076454605,-0.001077287908429863,-0.009636364716658487,-0.003212765393331231
01005,soybeans,irrig,-0.0005038332724401696,0.001043726800626139,-0.00332595433254122,0.0029381570840439847,0.0005731532961802806,-0.0009991114374632594,-0.0015464636893218165,-0.0002019561508058869,-0.002849659440010135,-0.005790719253814748,0.0006431537172138061,0.000607057893251849,-0.0032310188279468795,-0.0003826052547108726
